,Date,Bitcoin,C,B,S
115,2017-09-15,3686.9,69.04,0.14315999509579647,0.5062611806797856
116,2017-09-18,4067.0775,70.6,0.16448769852466333,0.57602862254025
117,2017-09-19,3896.9988,71.15,0.15494639722943354,0.6006261180679786
118,2017-09-20,3858.0888,71.46,0.1527635722584208,0.6144901610017888
119,2017-09-21,3612.6813,71.76,0.1389963756746681,0.6279069767441863
120,2017-09-22,3603.3088,71.4,0.13847058469443635,0.6118067978533097
121,2017-09-25,3927.4988,70.84,0.1566574268263467,0.5867620751341684
122,2017-09-26,3895.5125,70.94,0.1548630167936994,0.5912343470483004
123,2017-09-27,4208.5613,72.28,0.17242484505855638,0.6511627906976742
124,2017-09-28,4185.2925,72.65,0.17111948094430546,0.6677101967799643
125,2017-09-29,4164.1038,72.74,0.16993080904856406,0.6717352415026832
126,2017-10-02,4404.0975,73.8,0.1833942950738981,0.7191413237924866
127,2017-10-03,4320.09,74.13,0.17868153052102342,0.733899821109123
128,2017-10-04,4225.9238,74.06,0.17339886969384827,0.7307692307692308
129,2017-10-05,4322.755,75.72,0.17883103523826188,0.805008944543828
130,2017-10-06,4370.245,75.64,0.18149519246965218,0.8014311270125223
131,2017-10-09,4772.975,75.39,0.2040880760619414,0.7902504472271916
132,2017-10-10,4754.6988,75.18,0.20306279346787243,0.7808586762075138
133,2017-10-11,4830.7663,74.94,0.20733012933223932,0.7701252236135954
134,2017-10-12,5439.1338,72.37,0.2414591391125686,0.6551878354203939
135,2017-10-13,5640.1275,72.11,0.2527347512270957,0.6435599284436493
136,2017-10-16,5754.2213,71.77,0.25913533708362974,0.6283542039355989
137,2017-10-17,5595.235,72.19,0.25021631200809824,0.647137745974955
138,2017-10-18,5572.1988,73.12,0.24892399659824876,0.6887298747763864
139,2017-10-19,5699.5838,72.88,0.25607020988358575,0.6779964221824684
140,2017-10-20,5984.0863,73.53,0.2720306098145948,0.7070661896243293
141,2017-10-23,5895.2988,73.53,0.2670496904593186,0.7070661896243293
142,2017-10-24,5518.85,74.24,0.24593116460612424,0.7388193202146689
143,2017-10-25,5733.9038,73.64,0.25799553892509586,0.7119856887298748
144,2017-10-26,5888.145,73.79,0.2666483670648794,0.7186940966010735
145,2017-10-27,5767.68,73.87,0.259890361150383,0.7222719141323792
146,2017-10-30,6121.8,73.78,0.27975625626051004,0.71824686940966
147,2017-10-31,6447.6675,73.5,0.29803720502025055,0.7057245080500896
148,2017-11-01,6750.1725,74.03,0.3150075331584212,0.7294275491949911
149,2017-11-02,7030.0025,74.74,0.33070580896511625,0.7611806797853307
150,2017-11-03,7161.4513,74.05,0.3380799987119594,0.7303220035778173
151,2017-11-06,6958.2113,73.8,0.32667837067010286,0.7191413237924866
152,2017-11-07,7118.8013,72.71,0.3356873622428333,0.6703935599284434
153,2017-11-09,7146.7813,72.43,0.3372570215255097,0.6578711985688734
154,2017-11-10,6570.3125,72.25,0.304917507476428,0.6498211091234345
155,2017-11-13,6517.6763,71.99,0.30196465186760707,0.6381932021466903
156,2017-11-14,6598.7688,71.53,0.3065138868704817,0.6176207513416814
157,2017-11-15,7279.0013,71.73,0.34467447507645566,0.6265652951699465
158,2017-11-16,7843.9375,71.67,0.37636701798031247,0.623881932021467
159,2017-11-17,7689.9088,71.33,0.3677261109483763,0.6086762075134167
160,2017-11-20,8238.2025,72.05,0.39848502073529446,0.6408765652951698
161,2017-11-21,8095.5938,72.38,0.3904847680639075,0.6556350626118066
162,2017-11-22,8230.6925,72.26,0.3980637147591365,0.650268336314848
163,2017-11-24,8201.4613,72.02,0.3964238639934551,0.63953488372093
164,2017-11-27,9739.055,71.39,0.48268184198450936,0.6113595706618962
165,2017-11-28,9908.2288,73.7,0.4921723789950754,0.7146690518783543
166,2017-11-29,9816.3475,75.04,0.487017899529408,0.7745974955277282
