Date,Bitcoin,EWJ,FDN,GLD,IWM,IWY,ROBO,SPY,DIA,TLT,UNG,USO,VGT,XLE,XLK,XLU,XLY
9/15/17,3686.9,55.240002,101.010002,125.529999,142.410004,67.889999,38.220001,249.190002,222.449997,126.860001,26.92,10.2,151.809998,65.839996,58.740002,54.75,89.629997
9/18/17,4067.0775,55.25,101.18,124.360001,143.380005,67.870003,38.57,249.720001,223.160004,126.129997,27.84,10.17,151.970001,66.120003,58.790001,54.189999,89.32
9/19/17,3896.9988,55.57,101.470001,124.620003,143.380005,67.949997,38.700001,249.970001,223.580002,125.82,27.639999,10.11,152.490005,66.389999,59.049999,54.080002,89.239998
9/20/17,3858.0888,55.59,101.519997,123.620003,143.839996,67.900002,38.700001,250.059998,223.899994,125.910004,27.4,10.24,151.729996,66.839996,58.810001,53.68,89.540001
9/21/17,3612.6813,55.369999,101.489998,122.68,143.690002,67.629997,38.41,249.389999,223.470001,125.839996,26.32,10.25,150.880005,66.860001,58.490002,53.669998,89.389999
9/22/17,3603.3088,55.43,101.620003,123.239998,144.300003,67.599998,38.439999,249.440002,223.199997,126.199997,26.24,10.24,151,67.199997,58.52,53.23,89.540001
9/25/17,3927.4988,55.549999,99.559998,124.529999,144.5,67,38.23,248.929993,222.820007,126.989998,26.040001,10.55,148.940002,68.169998,57.830002,53.720001,89.349998
9/26/17,3895.5125,55.549999,99.660004,123.139999,144.610001,66.959999,38.040001,249.080002,222.690002,126.760002,26.120001,10.49,149.429993,68.139999,58.040001,53.619999,89.360001
9/27/17,4208.5613,55.66,101.339996,121.980003,147.440002,67.370003,38.34,250.050003,223.119995,124.849998,26.639999,10.52,150.820007,68.43,58.630001,52.900002,89.849998
9/28/17,4185.2925,55.700001,101.540001,122.209999,147.830002,67.489998,38.470001,250.350006,223.600006,124.480003,26.32,10.43,151.039993,68.489998,58.700001,53.09,89.739998
9/29/17,4164.1038,55.709999,102.360001,121.580002,148.179993,67.82,38.68,251.229996,223.820007,124.760002,26.280001,10.43,151.990005,68.480003,59.099998,53.049999,90.080002
10/2/17,4404.0975,55.709999,102.739998,120.769997,150,67.910004,38.919998,252.320007,225.240005,124.279999,25.52,10.21,152.419998,68.459999,59.189999,53.139999,90.25
10/3/17,4320.09,56.040001,103.459999,120.830002,150.330002,68.010002,39.080002,252.860001,226.240005,124.400002,25.24,10.18,152.809998,68.389999,59.330002,52.990002,90.629997
10/4/17,4225.9238,56.049999,103.690002,121.169998,149.850006,68.120003,39.080002,253.160004,226.410004,124.410004,25.559999,10.08,152.720001,68.339996,59.290001,53.52,91.099998
10/5/17,4322.755,56.02,104.860001,120.519997,150.259995,68.639999,39.029999,254.660004,227.639999,123.940002,25.280001,10.25,154.160004,68.650002,59.860001,53.470001,91.610001
10/6/17,4370.245,55.990002,105.040001,121.089996,150.050003,68.699997,38.950001,254.369995,227.550003,123.589996,25,9.97,154.630005,68.07,59.950001,53.43,91.720001
10/9/17,4772.975,56.060001,104.860001,122.080002,149.429993,68.709999,39.029999,253.949997,227.529999,123.980003,24.68,10,154.970001,68.209999,60.099998,53.5,91.43
10/10/17,4754.6988,56.459999,104.370003,122.400002,149.860001,68.769997,39.240002,254.619995,228.259995,124.18,25.08,10.28,155.070007,68.269997,60.16,54.02,91.339996
10/11/17,4830.7663,56.75,104.949997,122.790001,149.75,69.010002,39.41,255.020004,228.610001,124.419998,25.24,10.36,155.699997,68.43,60.360001,54.25,91.389999
10/12/17,5439.1338,56.68,105.139999,122.889999,149.639999,69.019997,39.470001,254.639999,228.330002,124.949997,26,10.23,155.820007,68.18,60.209999,54.529999,90.779999
10/13/17,5640.1275,57.380001,105.440002,123.82,149.369995,69.139999,39.77,254.949997,228.729996,125.849998,26.040001,10.37,156.529999,68.139999,60.5,54.150002,91.220001
10/16/17,5754.2213,57.639999,105.160004,122.970001,149.240005,69.370003,39.759998,255.289993,229.449997,125.760002,25.76,10.46,156.949997,68.290001,60.720001,54.029999,91.339996
10/17/17,5595.235,57.580002,105.129997,122.129997,148.809998,69.419998,39.73,255.470001,229.850006,125.919998,25.559999,10.49,156.869995,68.330002,60.720001,54.349998,91.389999
