,Date,Bitcoin,Stock,B,S
191,2017-12-04,11616.855,169.8,0.5925747548076927,0.7230483271375467
192,2017-12-05,11696.0583,169.64,0.5969689384935064,0.7193308550185873
193,2017-12-06,13708.9913,169.01,0.7086460699922686,0.7046933085501856
194,2017-12-07,16858.02,169.452,0.8833535700547528,0.7149628252788105
195,2017-12-08,16057.145,169.37,0.83892118075562,0.7130576208178443
196,2017-12-11,16699.6775,172.67,0.8745687589386637,0.7897304832713754
197,2017-12-12,17178.1025,171.7,0.9011116849264116,0.7671933085501856
198,2017-12-13,16407.2025,172.27,0.8583423027997357,0.7804368029739779
199,2017-12-14,16531.0838,172.22,0.8652152132395455,0.7792750929368033
200,2017-12-15,17601.9438,173.87,0.9246263178499645,0.8176115241635689
201,2017-12-18,18960.5225,176.42,0.9999999999999999,0.8768587360594795
202,2017-12-19,17608.35,174.54,0.924981732580513,0.8331784386617098
203,2017-12-20,16454.7225,174.35,0.8609787031612088,0.8287639405204459
204,2017-12-21,15561.05,175.01,0.8113979266031577,0.8440985130111525
205,2017-12-22,13857.145,175.01,0.7168656084651975,0.8440985130111525
206,2017-12-26,15745.2575,170.57,0.8216177228907431,0.7409386617100373
207,2017-12-27,15378.285,170.6,0.8012581599351308,0.7416356877323422
208,2017-12-28,14428.76,171.08,0.7485786975355566,0.7527881040892197
209,2017-12-29,14427.87,169.23,0.7485293205085846,0.7098048327137545
210,2018-01-02,14740.7563,172.26,0.7658881916032813,0.7802044609665426
211,2018-01-03,15134.6513,172.23,0.7877414096247976,0.7795074349442377
212,2018-01-04,15155.2263,173.03,0.788882906624741,0.7980947955390336
213,2018-01-05,16937.1738,175.0,0.8877450074901899,0.8438661710037181
214,2018-01-08,14970.3575,174.35,0.7786264215417211,0.8287639405204459
215,2018-01-09,14439.4738,174.33,0.7491730970766498,0.8282992565055771
216,2018-01-10,14890.7225,174.29,0.7742082872238357,0.827369888475836
217,2018-01-11,13287.26,175.28,0.6852484994585033,0.8503717472118959
218,2018-01-12,13812.715,177.09,0.7144006407029869,0.8924256505576214
219,2018-01-16,11348.02,176.19,0.5776598412728311,0.8715148698884763
220,2018-01-17,11141.2488,179.1,0.5661882152959322,0.9391263940520451
221,2018-01-18,11250.6475,179.26,0.5722576339033542,0.9428438661710041
222,2018-01-19,11514.925,178.46,0.586919698224255,0.9242565055762082
223,2018-01-22,10772.15,177.0,0.5457106856297013,0.8903345724907066
224,2018-01-23,10839.8263,177.04,0.5494653535965187,0.8912639405204459
225,2018-01-24,11399.52,174.22,0.5805170512605387,0.8257434944237918
226,2018-01-25,11137.2375,171.11,0.5659656691517828,0.7534851301115246
227,2018-01-26,11090.0638,171.51,0.5633484814469844,0.7627788104089217
228,2018-01-29,11158.3938,167.96,0.5671394165627137,0.6802973977695173
229,2018-01-30,10034.9975,166.97,0.5048136082420577,0.6572955390334574
230,2018-01-31,10166.5063,167.43,0.512109690898979,0.6679832713754652
231,2018-02-01,9052.5763,167.78,0.45030907106194706,0.6761152416356881
232,2018-02-02,8827.63,160.37,0.43782909407053194,0.5039498141263943
233,2018-02-05,6914.26,157.49,0.33167569845538397,0.43703531598513035
234,2018-02-06,7700.3863,163.03,0.3752898327458623,0.5657527881040894
235,2018-02-07,7581.8038,159.54,0.36871089869989454,0.4846654275092934
236,2018-02-08,8237.2363,155.32,0.40507416637500476,0.3866171003717471
237,2018-02-09,8689.8388,155.97,0.43018446508299374,0.4017193308550189
238,2018-02-12,8891.2125,162.71,0.44135663880923914,0.5583178438661713
239,2018-02-13,8516.2438,164.34,0.42055344823219565,0.5961895910780672
240,2018-02-14,9477.84,167.37,0.4739026184609664,0.6665892193308554
241,2018-02-15,10016.4888,172.99,0.5037867491643978,0.7971654275092943
242,2018-02-16,10178.7125,172.43,0.5127868885019295,0.7841542750929369
243,2018-02-20,11228.2413,171.85,0.5710145422834206,0.7706784386617103
244,2018-02-21,10456.1725,171.07,0.5281803153599753,0.7525557620817844
245,2018-02-22,9830.4263,172.6,0.4934640378374493,0.7881040892193312
246,2018-02-23,10149.4625,175.555,0.5111641041885229,0.8567611524163574
247,2018-02-26,10313.0825,178.97,0.5202417099785951,0.9361059479553901
248,2018-02-27,10564.4188,178.39,0.5341857990394393,0.9226301115241631
249,2018-02-28,10309.6413,178.12,0.5200507928716106,0.9163568773234205
250,2018-03-01,10907.59,175.0,0.5532248704983443,0.8438661710037181
251,2018-03-02,11019.5213,176.21,0.5594347972613948,0.8719795539033459
252,2018-03-05,11432.9825,176.82,0.5823735442549788,0.886152416356877
253,2018-03-06,10709.5275,176.67,0.5422364015043571,0.8826672862453533
254,2018-03-07,9906.8,175.03,0.4977012358653753,0.8445631970260221
255,2018-03-08,9299.2838,176.94,0.4639963551986922,0.8889405204460967
256,2018-03-09,9237.05,179.98,0.46054363607377957,0.9595724907063197
257,2018-03-12,9118.2713,181.72,0.45395381688995584,1.0
258,2018-03-13,9144.1475,179.97,0.45538942343527455,0.9593401486988853
259,2018-03-14,8196.8975,178.44,0.4028361775934097,0.9237918215613385
260,2018-03-15,8256.9938,178.65,0.4061703086338811,0.9286710037174721
261,2018-03-16,8269.3275,178.02,0.406854579912044,0.9140334572490714
262,2018-03-19,8594.1913,175.3,0.42487796037815373,0.8508364312267664
263,2018-03-20,8915.9038,175.24,0.4427265073329185,0.8494423791821566
264,2018-03-21,8895.4,171.27,0.44158896049513285,0.7572026022304836
265,2018-03-22,8712.8913,168.845,0.43146341330127785,0.7008596654275094
266,2018-03-23,8918.7438,164.94,0.44288406998078433,0.6101301115241635
267,2018-03-26,8138.3363,172.77,0.3995872136024944,0.7920539033457255
268,2018-03-27,7790.1575,168.34,0.38027032146913414,0.6891263940520447
